stimulus_id	phase_filename
11.mov	D082920_1818420_0_F8_E2.1_G['LMO', 1, 2, 1]_['LMO', 0, 1, 1]_ST1_3_SZ2_0_1_0_P2_2_7_0_A0_0_C0_0_AN1.39_1.97_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e18.mp4
12.mov	D083020_1029100_0_F8_E16.0_G['LMO', 0, 2, 1]_['LMO', 0, 3, 1]_ST2_3_SZ0_0_0_2_P10_0_3_11_A0_0_C0_0_AN-2.12_4.78_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e82.mp4
13.mov	D082320_0705560_0_F8_E14_G['LMO', 0, 0, 1]_['LMO', 0, 0, 1]_ST2_2_SZ1_1_0_1_P3_14_11_14_A0_0_C0_0_AN-5.29_-1.57_MCTS_L100_R10.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e10.mp4
14.mov	D083120_1954500_0_F8_E13.3_G['LMO', 0, 1, 1]_['LMO', 0, 1, 1]_ST3_3_SZ2_3_0_1_P6_11_7_13_A0_0_C0_0_AN3.65_4.45_MCTS_L100_R10.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e20.mp4
15.mov	D082520_0757520_0_F8_E14.1_G['LMA', 0, 3, 1]_['LMA', 0, 3, -1]_ST1_3_SZ0_0_3_3_P15_2_10_0_A0_0_C0_0_AN3.56_-3.58_MCTS_L100_R0.0_-10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e88.mp4
16.mov	D083120_0023050_0_F8_E7.1_G['LMO', 0, 0, 1]_['LMO', 0, 2, 1]_ST3_3_SZ2_0_0_2_P12_6_6_12_A0_0_C0_0_AN-1.97_-3.5_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e22.mp4
17.mov	D082920_0753410_0_F8_E13.2_G['TE', 0, 1, 1]_['TE', 0, 1, -1]_ST1_2_SZ0_0_1_2_P11_5_5_6_A0_0_C0_0_AN5.97_0.92_MCTS_L100_R0.0_-10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e4.mp4
18.mov	D083020_1857420_0_F8_E10.3_G['LMO', 1, 0, 1]_['LMO', 1, 3, 1]_ST3_2_SZ0_0_2_0_P17_3_13_3_A0_0_C0_0_AN-0.61_5.72_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e77.mp4
19.mov	D083020_1956460_0_F8_E16.3_G['TE', 0, 1, 1]_['TE', 0, 1, -1]_ST1_3_SZ0_3_1_0_P7_3_15_16_A0_0_C0_0_AN-2.36_5.82_MCTS_L100_R0.0_-10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e7.mp4
20.mov	D082720_1415450_0_F8_E19.0_G['LMA', 0, 1, 1]_['LMA', 0, 1, -1]_ST3_3_SZ0_0_3_1_P5_15_11_7_A0_0_C0_0_AN-0.84_-0.55_MCTS_L100_R0.0_-10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e26.mp4
21.mov	D083020_0201340_0_F8_E15_G['LMO', 0, 0, 1]_['LMA', 1, 3, 1]_ST2_1_SZ0_0_0_0_P3_4_13_16_A0_0_C0_0_AN0.95_-1.28_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e3.mp4
22.mov	D082720_1832530_0_F8_E19.1_G['LMA', 0, 2, 1]_['LMA', 0, 2, -1]_ST3_3_SZ0_0_1_0_P0_17_10_4_A0_0_C0_0_AN1.34_-1.2_MCTS_L100_R0.0_-10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e90.mp4
23.mov	D081920_0035030_0_F8_E8.0_G['LMO', 0, 3, 1]_['LMO', 0, 3, 1]_ST1_3_SZ0_0_0_1_P6_14_16_5_A0_0_C0_0_AN1.28_5.58_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e21.mp4
24.mov	D083120_1331490_0_F8_E14.0_G['LMO', 1, 0, 1]_['LMO', 1, 0, 1]_ST3_2_SZ1_3_3_0_P1_3_0_1_A0_0_C0_0_AN-4.48_-5.73_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e14.mp4
25.mov	D083020_1457490_0_F8_E12.1_G['LMO', 1, 2, 1]_['LMO', 1, 2, 1]_ST3_3_SZ0_0_0_0_P16_5_7_10_A0_0_C0_0_AN2.21_-5.15_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e23.mp4
26.mov	D082720_1633280_0_F8_E20.1_G['LMA', 1, 1, -1]_['LMA', 1, 1, 1]_ST3_3_SZ0_0_0_0_P3_15_16_7_A0_0_C0_0_AN2.89_-4.1_MCTS_L100_R-10.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e87.mp4
27.mov	D082420_0811460_0_F8_E19.2_G['LMO', 0, 2, 1]_['LMO', 0, 2, 1]_ST3_1_SZ1_1_0_0_P15_1_15_11_A0_0_C0_0_AN-4.6_4.16_MCTS_L100_R10.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e5.mp4
28.mov	D082920_1148200_0_F8_E0.1_G['LMO', 1, 2, 1]_['LMA', 1, 3, 1]_ST2_0_SZ3_0_1_1_P3_12_0_16_A0_0_C0_0_AN1.72_0.04_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e23.mp4
29.mov	D083020_0511080_0_F8_E4.2_G['LMO', 1, 0, 1]_['LMO', 1, 1, 1]_ST2_2_SZ0_0_2_3_P0_11_17_3_A0_0_C0_0_AN3.9_-1.6_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e68.mp4
30.mov	D083020_1209270_0_F8_E18_G['LMO', 0, 1, 1]_['LMA', 1, 2, 1]_ST2_3_SZ0_1_0_1_P12_12_1_17_A0_0_C0_0_AN-2.25_-2.31_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e79.mp4
31.mov	D082520_1513240_0_F8_E19_G['LMO', 0, 1, 1]_['LMO', 0, 1, 1]_ST2_2_SZ0_0_0_1_P12_11_0_12_A0_0_C0_0_AN5.8_2.65_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e4.mp4
32.mov	D082920_2353420_0_F8_E0.3_G['LMO', 0, 2, 1]_['LMO', 0, 2, 1]_ST0_2_SZ0_2_0_2_P14_6_0_1_A0_0_C0_0_AN-0.47_1.53_MCTS_L100_R0.0_10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e19.mp4
33.mov	D082720_1405480_0_F8_E18.1_G['LMO', 1, 2, 1]_['LMO', 1, 2, 1]_ST2_0_SZ0_0_1_0_P10_2_7_5_A0_0_C0_0_AN-1.46_2.13_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e43.mp4
34.mov	D082120_2101060_0_F8_E12.1_G['LMA', 0, 0, 1]_['LMA', 0, 0, -1]_ST1_3_SZ0_0_3_0_P13_0_6_10_A0_0_C0_0_AN-3.45_1.43_MCTS_L100_R0.0_-10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e92.mp4
35.mov	D082020_1817530_0_F8_E8.1_G['LMO', 0, 0, 1]_['LMO', 0, 0, 1]_ST1_1_SZ0_3_3_1_P12_13_3_14_A0_0_C0_0_AN-4.15_-0.15_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e8.mp4
36.mov	D082920_1647260_0_F8_E7.3_G['TE', 0, 1, 1]_['TE', 0, 1, -1]_ST3_1_SZ0_3_3_0_P11_6_12_4_A0_0_C0_0_AN5.13_5.88_MCTS_L100_R0.0_-10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e11.mp4
37.mov	D083020_0729230_0_F8_E21_G['LMA', 0, 0, 1]_['LMO', 1, 0, 1]_ST2_2_SZ0_0_2_0_P7_1_16_12_A0_0_C0_0_AN-3.72_4.54_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e35.mp4
38.mov	D082920_1014020_0_F8_E2.3_G['TE', 1, 0, -1]_['TE', 1, 0, 1]_ST2_1_SZ0_3_3_0_P0_15_3_12_A0_0_C0_0_AN-3.63_0.46_MCTS_L100_R-10.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e1.mp4
39.mov	D082920_2300000_0_F8_E21.1_G['LMA', 0, 3, 1]_['LMO', 0, 2, 1]_ST2_2_SZ0_0_0_0_P2_7_12_3_A0_0_C0_0_AN-0.98_-4.47_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e42.mp4
40.mov	D082820_2314230_0_F8_E18.3_G['LMA', 0, 1, 1]_['LMA', 1, 0, 1]_ST1_0_SZ0_2_1_0_P5_3_11_14_A0_0_C0_0_AN-1.56_-5.24_MCTS_L80_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e39.mp4
41.mov	D083020_0942100_0_F8_E7.1_G['LMO', 1, 1, 1]_['LMO', 1, 1, 1]_ST0_3_SZ0_2_3_0_P6_5_3_6_A0_0_C0_0_AN4.06_-2.24_MCTS_L100_R0.0_10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e26.mp4
42.mov	D082120_1315000_0_F8_E7.2_G['LMA', 0, 0, 1]_['LMA', 0, 0, -1]_ST1_3_SZ1_0_3_1_P14_6_2_11_A0_0_C0_0_AN3.98_-3.22_MCTS_L100_R0.0_-10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e30.mp4
43.mov	D082220_1620420_0_F8_E4.2_G['LMO', 0, 0, 1]_['LMO', 0, 0, 1]_ST2_2_SZ0_0_1_0_P10_1_5_12_A0_0_C0_0_AN-3.4_5.41_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e57.mp4
44.mov	D082620_1712090_0_F8_E20_G['LMA', 1, 0, -1]_['LMA', 1, 0, 1]_ST3_1_SZ0_0_2_3_P10_5_14_10_A0_0_C0_0_AN-3.67_4.83_MCTS_L100_R-10.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e86.mp4
45.mov	D082920_0534240_0_F8_E20_G['LMO', 0, 1, 1]_['LMA', 1, 1, 1]_ST1_1_SZ0_0_0_2_P7_0_14_10_A0_0_C0_0_AN-5.32_0.6_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e29.mp4
46.mov	D082520_0417300_0_F8_E13.3_G['LMA', 0, 0, 1]_['LMA', 0, 0, -1]_ST1_3_SZ3_0_0_3_P2_4_1_7_A0_0_C0_0_AN-3.64_5.39_MCTS_L100_R0.0_-10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e71.mp4
47.mov	D082820_2224430_0_F8_E4.3_G['LMA', 0, 1, 1]_['LMA', 1, 3, 1]_ST1_1_SZ2_2_2_0_P17_17_4_16_A0_0_C0_0_AN-4.22_4.4_MCTS_L80_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e70.mp4
48.mov	D082920_1650190_0_F8_E19.3_G['LMA', 0, 3, 1]_['LMO', 0, 2, 1]_ST2_2_SZ2_0_0_0_P7_15_10_1_A0_0_C0_0_AN-5.13_-2.96_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e47.mp4
49.mov	D082920_1415050_0_F8_E9.3_G['LMO', 1, 1, 1]_['LMA', 1, 2, 1]_ST3_0_SZ2_2_2_3_P12_11_14_13_A0_0_C0_0_AN-4.6_-3.51_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e33.mp4
50.mov	D083020_0854180_0_F8_E0.0_G['LMO', 1, 3, 1]_['LMO', 1, 3, 1]_ST0_2_SZ0_1_3_1_P6_2_15_7_A0_0_C0_0_AN6.14_3.99_MCTS_L100_R0.0_10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e7.mp4
